0	There is an active shooter at the sprawling central Texas base of Fort Hood, a source at Fort Hood told CNN on Wednesday.	[(u'there', u'is', u'shooter'), (u'source', u'told', u'cnn')]	,an active shooter,the sprawling central Texas base,Fort Hood,a source,Fort Hood,CNN,Wednesday	0.4019	0	0.886	0.114
	Stay safe and share your images with iReport.	[]	,your images,iReport	0.6249	0	0.541	0.459
0	(CNN) -- A shooting took place Wednesday at the Army's sprawling Fort Hood in central Texas, and injuries were reported.	[(u'shooting', u'took', u'place')]	,(CNN,A shooting,place,Fort Hood,central Texas,injuries	0	0	1	0
0	"There has been a shooting at Fort Hood and injuries are reported.	[(u'there', u'been', u'shooting')]	,a shooting,Fort Hood	0	0	1	0
0	Emergency crews are on the scene.	[(u'crews', u'are', None)]	,Emergency crews,the scene	-0.3818	0.342	0.658	0
0	No further details are know at this time," the Army fort said in a statement.	[(u'details', u'know', None), (u'fort', u'said', None)]	,No further details,this time,the Army fort,a statement	-0.296	0.145	0.855	0
0	Fort Hood's official Twitter feed asked that all personnel on post shelter in place.	[(u'feed', u'asked', None)]	,Fort Hood's official Twitter feed,all personnel,post shelter,place	0	0	1	0
0.1	Sirens were going off.	[(u'Sirens', u'going', None)]	,Sirens	0	0	1	0
0.2	A source described the situation as serious.	[(u'source', u'described', u'situation')]	,A source,the situation	-0.0772	0.206	0.794	0
0	President Barack Obama has been briefed on the incident and will continue to receive updates.	[(u'Obama', u'briefed', None)]	,President Barack Obama,the incident,updates	0	0	1	0
0	A local sheriff's office said that it had heard there was a shooting.	[(u'it', u'heard', u'was'), (u'there', u'was', u'shooting')]	,A local sheriff's office,it,a shooting	0	0	1	0
0	"They got some kind of shooting incident going on.	[(u'they', u'got', u'kind')]	,They,some kind,shooting incident	0	0	1	0
0	They haven't told us anything.	[(u'they', u'told', u'us'), (u'they', u'told', u'anything')]	,They,anything	0	0	1	0
0	It was on post and being handled by the military.	[(u'It', u'was', None)]	,It,post,the military	0	0	1	0
0.1	Fort Hood has not asked for any assistance," said Lt. Donnie Adams with the Bell County Sheriff's Office.	[(u'Hood', u'!asked', None)]	,Fort Hood,any assistance,Lt,Donnie Adams,the Bell County Sheriff's Office	0	0	1	0
0.1	Police in nearby Waco advised those on post to stay away from windows and to keep doors closed and locked.	[(u'police', u'advised', u'those')]	,Police,nearby Waco,post,windows,doors	0	0	1	0
0	"Injuries are being reported.	[(u'Injuries', u'reported', None)]	,Injuries	0	0	1	0
0.6	Be AWARE!!	[]		0	0	1	0
0	If you are in the Ft.	[(u'you', u'are', None)]	,you,the Ft	0	0	1	0
0	Hood Post area there is an on-going active shooter," the department tweeted.	[(u'there', u'is', u'shooter')]	,an on-going active shooter,the department	0.4019	0	0.803	0.197
0.1	All evening and night classes for the Central and Fort Hood campuses of Central Texas College (CTC) were canceled, according to the school's website.	[(u'classes', u'canceled', None)]	,All evening and night classes,the Central and Fort Hood campuses,Central Texas College,the school's website	0	0	1	0
0	Personnel and students were told to evacuate CTC Central Campus.	[(u'personnel', u'evacuate', u'campus'), (u'students', u'evacuate', u'campus')]	,Personnel,students,CTC Central Campus	0	0	1	0
